Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
project-1-team-8,com.sismics.android.util,DialogUtil,showOkDialog,Long Statement,The length of the statement "builder.setTitle(title).setMessage(message).setCancelable(true).setNeutralButton(R.string.ok`new DialogInterface.OnClickListener(){" is 131.,16
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,init,Long Statement,The length of the statement "this.innerParallaxFactor=typeArray.getFloat(R.styleable.ParallaxScroll_inner_parallax_factor`DEFAULT_INNER_PARALLAX_FACTOR);" is 124.,40
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,onScrollChanged,Magic Number,The method contains a magic number: 100,66
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,onScrollChanged,Magic Number,The method contains a magic number: 50,32
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,onScrollChanged,Magic Number,The method contains a magic number: 50,32
project-1-team-8,com.sismics.reader.ui.widget,ArticlesSwipeRefreshLayout,canChildScrollUp,Long Statement,The length of the statement "return listView != null && listView.getChildCount() > 0 && (listView.getFirstVisiblePosition() > 0 || listView.getChildAt(0).getTop() < listView.getPaddingTop());" is 162.,24
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Complex Method,Cyclomatic complexity of the method is 11,61
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Long Statement,The length of the statement "aq.id(R.id.imgFavicon).image(new BitmapAjaxCallback().url(faviconUrl).fallback(R.drawable.ic_launcher).preset(placeHolder).animation(AQuery.FADE_IN_NETWORK).cookie("auth_token"`authToken)).margin(item.isRoot() ? 16 : 32`0`0`0);" is 227.,61
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Magic Number,The method contains a magic number: 16,61
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Magic Number,The method contains a magic number: 32,61
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getViewTypeCount,Magic Number,The method contains a magic number: 3,128
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,isEnabled,Long Statement,The length of the statement "return item != null && (item.getType() == SubscriptionItem.SUBSCRIPTION_ITEM || item.getType() == SubscriptionItem.CATEGORY_ITEM);" is 130.,147
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Long Statement,The length of the statement "String faviconUrl=PreferenceUtil.getServerUrl(activity) + "/api/subscription/" + subscription.optString("id")+ "/favicon";" is 122.,54
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Long Statement,The length of the statement "aq.id(holder.imgFavicon).image(new BitmapAjaxCallback().url(faviconUrl).fallback(R.drawable.ic_launcher).preset(placeHolder).animation(AQuery.FADE_IN_NETWORK).cookie("auth_token"`authToken));" is 191.,54
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Long Statement,The length of the statement "holder.imgStarred.setImageResource(article.optBoolean("is_starred") ? R.drawable.ic_action_important : R.drawable.ic_action_not_important);" is 139.,54
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Magic Number,The method contains a magic number: .6f,54
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,restart,Complex Conditional,The conditional expression feedRequestHandle != null && !feedRequestHandle.isCancelled() && !feedRequestHandle.isFinished() is complex.,137
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Complex Conditional,The conditional expression loading || fullyLoaded || url == null is complex.,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Complex Method,Cyclomatic complexity of the method is 9,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Long Statement,The length of the statement "feedRequestHandle=SubscriptionResource.feed(context`url`unread`url.startsWith("/search/") ? items.size() : -1`articlesFetchedPref`afterArticleId`new JsonHttpResponseHandler(){" is 175.,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Magic Number,The method contains a magic number: 10,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Magic Number,The method contains a magic number: 500,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Magic Number,The method contains a magic number: 500,164
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,onSuccess,Magic Number,The method contains a magic number: 500,192
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,onSuccess,Magic Number,The method contains a magic number: 500,192
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,getView,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6a762937,61
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,onClick,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6a762937,77
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,onMenuItemClick,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6a762937,85
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,delete,Long Statement,The length of the statement "new AlertDialog.Builder(context).setTitle(R.string.category_delete_title).setMessage(R.string.category_delete_message).setPositiveButton(R.string.ok`new DialogInterface.OnClickListener(){" is 187.,171
project-1-team-8,com.sismics.reader.activity,MainActivity,onCreate,Long Statement,The length of the statement "swipeLayout.setColorSchemeResources(R.color.main_color`R.color.secondary_color`R.color.main_color2`R.color.secondary_color2);" is 125.,84
project-1-team-8,com.sismics.reader.activity,MainActivity,onOptionsItemSelected,Complex Method,Cyclomatic complexity of the method is 10,185
project-1-team-8,com.sismics.reader.activity,MainActivity,onOptionsItemSelected,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@dac74ad,185
project-1-team-8,com.sismics.reader.activity,MainActivity,selectItem,Complex Method,Cyclomatic complexity of the method is 9,272
project-1-team-8,com.sismics.reader.activity,MainActivity,selectItem,Long Statement,The length of the statement "if (args.getString("url").equals(oldArgs.getString("url")) && args.getBoolean("unread") == oldArgs.getBoolean("unread")) {" is 122.,272
project-1-team-8,com.sismics.reader.activity,MainActivity,selectItem,Long Statement,The length of the statement "fragmentManager.beginTransaction().setTransition(FragmentTransaction.TRANSIT_FRAGMENT_FADE).replace(R.id.content_frame`fragment`ARTICLES_FRAGMENT_TAG).commitAllowingStateLoss();" is 177.,272
project-1-team-8,com.sismics.reader.activity,MainActivity,refreshSubscriptions,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,334
project-1-team-8,com.sismics.reader.activity,MainActivity,refreshSubscriptions,Long Statement,The length of the statement "ArticlesDefaultFragment articlesDefaultFragment=(ArticlesDefaultFragment)getSupportFragmentManager().findFragmentByTag(ARTICLES_DEFAULT_FRAGMENT_TAG);" is 150.,334
project-1-team-8,com.sismics.reader.activity,MainActivity,refreshSubscriptions,Long Statement,The length of the statement "getSupportFragmentManager().beginTransaction().setTransition(FragmentTransaction.TRANSIT_FRAGMENT_FADE).replace(R.id.content_frame`new ArticlesDefaultFragment()`ARTICLES_DEFAULT_FRAGMENT_TAG).commitAllowingStateLoss();" is 218.,334
project-1-team-8,com.sismics.reader.activity,MainActivity,onFailure,Long Statement,The length of the statement "ArticlesDefaultFragment articlesDefaultFragment=(ArticlesDefaultFragment)getSupportFragmentManager().findFragmentByTag(ARTICLES_DEFAULT_FRAGMENT_TAG);" is 150.,370
project-1-team-8,com.sismics.reader.activity,MainActivity,handleIntent,Long Statement,The length of the statement "SearchRecentSuggestions suggestions=new SearchRecentSuggestions(this`RecentSuggestionsProvider.AUTHORITY`RecentSuggestionsProvider.MODE);" is 137.,447
project-1-team-8,com.sismics.reader.activity,MainActivity,handleIntent,Long Statement,The length of the statement "fragmentManager.beginTransaction().setTransition(FragmentTransaction.TRANSIT_FRAGMENT_FADE).replace(R.id.content_frame`fragment`ARTICLES_FRAGMENT_TAG).commitAllowingStateLoss();" is 177.,447
project-1-team-8,com.sismics.reader.activity,LicenseActivity,onCreate,Long Statement,The length of the statement "aq.id(R.id.txtLicenses).text(Html.fromHtml(getString(R.string.licenses_content))).getTextView().setMovementMethod(LinkMovementMethod.getInstance());" is 148.,24
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,onCreate,Long Statement,The length of the statement "@Override public void onFailure( int statusCode` org.apache.http.Header[] headers` byte[] responseBody` Throwable error){" is 121.,38
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,finish,Long Statement,The length of the statement "new AlertDialog.Builder(this).setTitle(R.string.finish_save_title).setMessage(R.string.finish_save_message).setPositiveButton(R.string.save_now`new DialogInterface.OnClickListener(){" is 182.,87
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,save,Complex Method,Cyclomatic complexity of the method is 8,115
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,save,Long Statement,The length of the statement "@Override public void onFailure( int statusCode` org.apache.http.Header[] headers` byte[] responseBody` Throwable error){" is 121.,115
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,save,Long Statement,The length of the statement "@Override public void onFailure( int statusCode` org.apache.http.Header[] headers` byte[] responseBody` Throwable error){" is 121.,115
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,run,Long Statement,The length of the statement "@Override public void onFailure( int statusCode` org.apache.http.Header[] headers` byte[] responseBody` Throwable error){" is 121.,134
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,run,Long Statement,The length of the statement "@Override public void onFailure( int statusCode` org.apache.http.Header[] headers` byte[] responseBody` Throwable error){" is 121.,134
project-1-team-8,com.sismics.reader.activity,CategoriesActivity,onOptionsItemSelected,Long Statement,The length of the statement "new AlertDialog.Builder(this).setTitle(R.string.add_category).setView(input).setPositiveButton(R.string.ok`new DialogInterface.OnClickListener(){" is 145.,221
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onCreate,Complex Method,Cyclomatic complexity of the method is 13,88
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onCreate,Long Method,The method has 107 lines of code.,88
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onCreate,Magic Number,The method contains a magic number: 100,88
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onCreate,Magic Number,The method contains a magic number: 100,88
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onCreate,Magic Number,The method contains a magic number: 5,88
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onCreate,Magic Number,The method contains a magic number: 2,88
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onPageSelected,Magic Number,The method contains a magic number: 100,109
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onPageSelected,Magic Number,The method contains a magic number: 100,109
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onPageScrolled,Magic Number,The method contains a magic number: 5,140
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onScroll,Magic Number,The method contains a magic number: 2,189
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onArticlesDrawerOpened,Magic Number,The method contains a magic number: 200,239
project-1-team-8,com.sismics.reader.activity,ArticleActivity,onOptionsItemSelected,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@18252b5b,304
project-1-team-8,com.sismics.reader.activity,LoginActivity,onCreate,Long Statement,The length of the statement "aq.id(R.id.loginExplain).text(Html.fromHtml(getString(R.string.login_explain))).getTextView().setMovementMethod(LinkMovementMethod.getInstance());" is 146.,41
project-1-team-8,com.sismics.reader.activity,LoginActivity,onCreate,Long Statement,The length of the statement "UserResource.login(getApplicationContext()`txtUsername.getText().toString()`txtPassword.getText().toString()`new JsonHttpResponseHandler(){" is 139.,41
project-1-team-8,com.sismics.reader.activity,LoginActivity,onCreate,Long Statement,The length of the statement "@Override public void onFailure( final int statusCode` final Header[] headers` final byte[] responseBytes` final Throwable throwable){" is 134.,41
project-1-team-8,com.sismics.reader.activity,LoginActivity,onClick,Long Statement,The length of the statement "UserResource.login(getApplicationContext()`txtUsername.getText().toString()`txtPassword.getText().toString()`new JsonHttpResponseHandler(){" is 139.,86
