Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
project-1-team-8,com.sismics.android,Log,d,5,2,2,11,0,,
project-1-team-8,com.sismics.android,Log,w,5,2,2,23,0,,
project-1-team-8,com.sismics.android,Log,e,5,2,3,35,0,,
project-1-team-8,com.sismics.android,Log,e,5,2,2,48,0,,
project-1-team-8,com.sismics.android.util,DialogUtil,showOkDialog,12,2,3,16,0,,
project-1-team-8,com.sismics.android.util,DialogUtil,onClick,3,1,2,34,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,ParallaxScrollView,4,1,3,26,0,com.sismics.parallaxscroll.ParallaxScrollView,com.sismics.parallaxscroll.ParallaxScrollView
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,ParallaxScrollView,4,1,2,31,0,com.sismics.parallaxscroll.ParallaxScrollView,com.sismics.parallaxscroll.ParallaxScrollView
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,ParallaxScrollView,3,1,1,36,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,init,8,1,2,40,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,onFinishInflate,4,1,0,49,0,com.sismics.parallaxscroll.ParallaxScrollView,com.sismics.parallaxscroll.ParallaxScrollView
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,makeViewsParallax,10,3,0,55,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,onScrollChanged,15,3,4,66,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,translatePreICS,0,1,2,20,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,ParallaxedView,5,1,1,22,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,is,3,1,1,28,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,setOffset,9,3,1,32,0,com.sismics.parallaxscroll.ParallaxedView,com.sismics.parallaxscroll.ParallaxedView
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,setAlpha,9,3,1,43,0,com.sismics.parallaxscroll.ParallaxedView,com.sismics.parallaxscroll.ParallaxedView
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,addAnimation,3,1,1,53,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,alphaPreICS,3,1,2,57,0,com.sismics.parallaxscroll.ParallaxedView,com.sismics.parallaxscroll.ParallaxedView
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,animateNow,12,4,0,61,0,,
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,setView,3,1,1,76,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,ArticleScrollView,3,1,1,20,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,ArticleScrollView,3,1,2,24,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,ArticleScrollView,3,1,3,28,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,onScrollChanged,19,5,4,32,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,setOnScrollChangedListener,3,1,1,53,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticlesSwipeRefreshLayout,ArticlesSwipeRefreshLayout,3,1,1,16,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticlesSwipeRefreshLayout,ArticlesSwipeRefreshLayout,3,1,2,20,0,,
project-1-team-8,com.sismics.reader.ui.widget,ArticlesSwipeRefreshLayout,canChildScrollUp,4,1,0,24,0,,
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,SubscriptionAdapter,6,1,2,48,0,com.sismics.reader.ui.adapter.SubscriptionAdapter,com.sismics.reader.ui.adapter.SubscriptionAdapter
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,43,11,3,61,0,com.sismics.reader.ui.adapter.SubscriptionAdapter,com.sismics.reader.ui.adapter.SubscriptionAdapter
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getCount,3,1,0,118,0,,
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getItemViewType,3,1,1,123,0,com.sismics.reader.ui.adapter.SubscriptionAdapter,com.sismics.reader.ui.adapter.SubscriptionAdapter
