Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: isAPI11 (15)
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter.Category,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter.State,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter.Type,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
project-1-team-8,com.sismics.reader.activity,MainActivity,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
project-1-team-8,com.sismics.reader.resource,BaseResource.MySSLSocketFactory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
project-1-team-8,com.sismics.reader.core.model.context,AppContext,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.jpa.ConfigDao
project-1-team-8,com.sismics.reader.core.service,IndexingService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.lucene.ArticleDao; com.sismics.reader.core.model.jpa.UserArticle; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.dao.jpa.UserArticleDao
project-1-team-8,com.sismics.reader.core.service,IndexingService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 12
project-1-team-8,com.sismics.reader.core.service,IndexingService,Law of Demeter violation,The tool detected the smell in this method (searchArticles) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setArticleIdIn; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setVisible
project-1-team-8,com.sismics.reader.core.service,IndexingService,Law of Demeter violation,The tool detected the smell in this method (rebuildIndex) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getAsyncEventBus
project-1-team-8,com.sismics.reader.core.service,FeedService,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.event.ArticleUpdatedAsyncEvent; com.sismics.reader.core.event.FaviconUpdateRequestedEvent; com.sismics.reader.core.model.jpa.UserArticle; com.sismics.reader.core.dao.jpa.criteria.FeedCriteria; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria; com.sismics.reader.core.dao.jpa.UserArticleDao; com.sismics.reader.core.dao.file.html.RssExtractor; com.sismics.reader.core.dao.jpa.dto.ArticleDto; com.sismics.reader.core.dao.file.rss.RssReader; com.sismics.reader.core.dao.jpa.FeedSubscriptionDao; com.sismics.reader.core.dao.jpa.FeedSynchronizationDao; com.sismics.reader.core.model.jpa.Article; com.sismics.reader.core.dao.jpa.FeedDao; com.sismics.reader.core.model.jpa.FeedSynchronization; com.sismics.reader.core.dao.jpa.dto.FeedSubscriptionDto; com.sismics.reader.core.event.ArticleDeletedAsyncEvent; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.dao.file.html.FeedChooserStrategy; com.sismics.reader.core.dao.jpa.ArticleDao; com.sismics.reader.core.model.jpa.Feed; com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria
project-1-team-8,com.sismics.reader.core.service,FeedService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 28
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (updateUnreadCounts) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUnread; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setFetchAllFeedSubscription; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setArticleId
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (removeArticlesFromIndex) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getAsyncEventBus
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (requestFaviconUpdate) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getAsyncEventBus
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (processExistingArticles) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria.setGuidIn; com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria.setFeedId
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (notifyArticleUpdates) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.model.context.AppContext.getInstance; com.sismics.reader.core.model.context.AppContext.getAsyncEventBus
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (getArticleToRemove) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria.setPublicationDateMin
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (parseFeedOrPage) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.file.rss.RssReader.getFeed; com.sismics.reader.core.model.jpa.Feed.setRssUrl
project-1-team-8,com.sismics.reader.core.service,FeedService,Law of Demeter violation,The tool detected the smell in this method (createInitialUserArticle) because the method voilates the law of Demeter. The long chain of method invocations is : com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setFeedId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setUserId; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria.setSubscribed
project-1-team-8,com.sismics.reader.core.listener.async,ArticleDeletedAsyncListener,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.lucene.ArticleDao
project-1-team-8,com.sismics.reader.core.listener.async,ArticleUpdatedAsyncListener,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.lucene.ArticleDao
project-1-team-8,com.sismics.reader.core.listener.async,RebuildIndexAsyncListener,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.dao.lucene.ArticleDao; com.sismics.reader.core.dao.jpa.ArticleDao
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.sismics.reader.core.event.ArticleCreatedAsyncEvent; com.sismics.reader.core.dao.jpa.JobDao; com.sismics.reader.core.model.jpa.UserArticle; com.sismics.reader.core.dao.jpa.criteria.FeedSubscriptionCriteria; com.sismics.reader.core.dao.jpa.UserArticleDao; com.sismics.reader.core.model.jpa.Category; com.sismics.reader.core.dao.file.opml.OpmlReader; com.sismics.reader.core.dao.jpa.JobEventDao; com.sismics.reader.core.dao.jpa.FeedSubscriptionDao; com.sismics.reader.core.dao.file.json.StarredReader; com.sismics.reader.core.dao.jpa.FeedDao; com.sismics.reader.core.model.jpa.Job; com.sismics.reader.core.dao.jpa.criteria.UserArticleCriteria; com.sismics.reader.core.model.jpa.FeedSubscription; com.sismics.reader.core.dao.jpa.CategoryDao; com.sismics.reader.core.dao.jpa.ArticleDao; com.sismics.reader.core.model.jpa.Feed; com.sismics.reader.core.dao.jpa.criteria.ArticleCriteria
