Project Name,Package Name,Type Name,Code Smell
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,Unutilized Abstraction
project-1-team-8,com.sismics.parallaxscroll,ScrollViewParallaxedItem,Unutilized Abstraction
project-1-team-8,com.sismics.parallaxscroll,ScrollViewParallaxedItem,Broken Hierarchy
project-1-team-8,com.sismics.parallaxscroll,ParallaxedView,Deficient Encapsulation
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,Unutilized Abstraction
project-1-team-8,com.sismics.reader.ui.widget,ArticlesSwipeRefreshLayout,Unutilized Abstraction
project-1-team-8,com.sismics.reader.ui.adapter,ViewHolder,Unnecessary Abstraction
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionItem,Deficient Encapsulation
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,Insufficient Modularization
project-1-team-8,com.sismics.reader.ui.form.validator,Required,Unutilized Abstraction
project-1-team-8,com.sismics.reader.ui.form.validator,Length,Unutilized Abstraction
project-1-team-8,com.sismics.reader.ui.form.validator,Alphanumeric,Unutilized Abstraction
project-1-team-8,com.sismics.reader.ui.form.validator,Email,Unutilized Abstraction
project-1-team-8,com.sismics.reader.activity,MainActivity,Insufficient Modularization
project-1-team-8,com.sismics.reader.activity,LicenseActivity,Unutilized Abstraction
project-1-team-8,com.sismics.reader.activity,SettingsActivity,Unutilized Abstraction
project-1-team-8,com.sismics.reader.activity,ArticleActivity,Insufficient Modularization
project-1-team-8,com.sismics.reader.resource,StarredResource,Unutilized Abstraction
project-1-team-8,com.sismics.reader.resource,StarredResource,Broken Hierarchy
project-1-team-8,com.sismics.reader.resource,SubscriptionResource,Unutilized Abstraction
project-1-team-8,com.sismics.reader.resource,SubscriptionResource,Broken Hierarchy
project-1-team-8,com.sismics.reader.resource,BaseResource,Unutilized Abstraction
project-1-team-8,com.sismics.reader.resource,ArticleResource,Unutilized Abstraction
project-1-team-8,com.sismics.reader.resource,ArticleResource,Broken Hierarchy
project-1-team-8,com.sismics.reader.resource,CategoryResource,Unutilized Abstraction
project-1-team-8,com.sismics.reader.resource,CategoryResource,Broken Hierarchy
project-1-team-8,com.sismics.reader.resource,UserResource,Unutilized Abstraction
project-1-team-8,com.sismics.reader.resource,UserResource,Broken Hierarchy
project-1-team-8,com.sismics.reader.fragment,NavigationFragment,Unnecessary Abstraction
project-1-team-8,com.sismics.reader.fragment,NavigationFragment,Unutilized Abstraction
project-1-team-8,com.sismics.reader.fragment,SettingsFragment,Unutilized Abstraction
project-1-team-8,com.sismics.reader.fragment,ArticlesDefaultFragment,Unutilized Abstraction
project-1-team-8,com.sismics.reader.fragment,ArticlesDefaultFragment,Broken Hierarchy
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,Unutilized Abstraction
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,Broken Hierarchy
project-1-team-8,com.sismics.reader.fragment,ArticlesFragment,Insufficient Modularization
project-1-team-8,com.sismics.reader.constant,Constants,Unnecessary Abstraction
project-1-team-8,com.sismics.reader.constant,Constants,Deficient Encapsulation
project-1-team-8,com.sismics.reader.provider,RecentSuggestionsProvider,Deficient Encapsulation
project-1-team-8,com.sismics.reader,MainApplication,Unutilized Abstraction
project-1-team-8,com.sismics.reader,BaseTransactionalTest,Unutilized Abstraction
project-1-team-8,com.sismics.reader,Standalone,Unutilized Abstraction
project-1-team-8,com.sismics.reader.util,PreferenceUtil,Deficient Encapsulation
project-1-team-8,com.sismics.reader.core.model.jpa,Feed,Insufficient Modularization
project-1-team-8,com.sismics.reader.core.model.jpa,User,Insufficient Modularization
project-1-team-8,com.sismics.reader.core.model.jpa,RoleBaseFunction,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.model.jpa,Article,Insufficient Modularization
project-1-team-8,com.sismics.reader.core.model.jpa,Role,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.model.context,AppContext,Cyclic-Dependent Modularization
project-1-team-8,com.sismics.reader.core.service,IndexingService,Cyclic-Dependent Modularization
project-1-team-8,com.sismics.reader.core.service,FeedService,Cyclic-Dependent Modularization
project-1-team-8,com.sismics.reader.core.listener.async,ArticleDeletedAsyncListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.listener.async,ArticleUpdatedAsyncListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.listener.async,RebuildIndexAsyncListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.listener.async,SubscriptionImportAsyncListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.listener.async,ArticleCreatedAsyncListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.listener.async,FaviconUpdateRequestedAsyncListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.listener.sync,DeadEventListener,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.constant,Constants,Deficient Encapsulation
project-1-team-8,com.sismics.reader.core.constant,Constants,Broken Modularization
project-1-team-8,com.sismics.reader.core.dao.lucene,ReaderStandardAnalyzer,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.lucene,ReaderStandardAnalyzer,Deficient Encapsulation
project-1-team-8,com.sismics.reader.core.dao.file.opml,TestOpmlReader,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.rss,AtomArticleCommentUrlGuesserStrategy,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.rss,AtomLink,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.rss,XmlReader,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.rss,AtomArticleUrlGuesserStrategy,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.rss,RssReader,Deficient Encapsulation
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.rss,TestRssReader,Insufficient Modularization
project-1-team-8,com.sismics.reader.core.dao.file.json,TestStarredReader,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.html,FaviconDownloader,Deficient Encapsulation
project-1-team-8,com.sismics.reader.core.dao.file.html,FeedChooserStrategy,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.html,TestFaviconExtractor,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.html,TestRssExtractor,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.file.html,TestFaviconDownloader,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.jpa,FeedSynchronizationDao,Unutilized Abstraction
project-1-team-8,com.sismics.reader.core.dao.jpa,JobEventDao,Unutilized Abstraction
