Project Name,Package Name,Type Name,Method Name,Code Smell
project-1-team-8,com.sismics.android.util,DialogUtil,showOkDialog,Long Statement
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,init,Long Statement
project-1-team-8,com.sismics.parallaxscroll,ParallaxScrollView,onScrollChanged,Magic Number
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,onScrollChanged,Magic Number
project-1-team-8,com.sismics.reader.ui.widget,ArticleScrollView,onScrollChanged,Magic Number
project-1-team-8,com.sismics.reader.ui.widget,ArticlesSwipeRefreshLayout,canChildScrollUp,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Complex Method
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getView,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,getViewTypeCount,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SubscriptionAdapter,isEnabled,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,ArticlesAdapter,getView,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,restart,Complex Conditional
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Complex Conditional
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Complex Method
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,load,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,onSuccess,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,SharedArticlesAdapterHelper,onSuccess,Magic Number
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,getView,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,getView,Missing default
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,onClick,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,onClick,Missing default
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,onMenuItemClick,Long Statement
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,onMenuItemClick,Missing default
project-1-team-8,com.sismics.reader.ui.adapter,CategoryAdapter,delete,Long Statement
project-1-team-8,com.sismics.reader.activity,MainActivity,onCreate,Long Statement
project-1-team-8,com.sismics.reader.activity,MainActivity,onOptionsItemSelected,Complex Method
project-1-team-8,com.sismics.reader.activity,MainActivity,onOptionsItemSelected,Long Statement
project-1-team-8,com.sismics.reader.activity,MainActivity,onOptionsItemSelected,Long Statement
